zip,pop,cases,date,total_cases,n_leq5,cases_lag,totalcases_last,totalcases_last_max,rate_last,rate_last_max,rate_last_ci_upper,rate_last_ci_lower,current_rate,school_opening_status
55116,22640,542,2020-10-29,542,0,484,58,58,25.618374558303884,25.618374558303884,32.211535020977585,19.025214095630187,25.618374558303884,All Hybrid
55117,40960,1523,2020-10-29,1523,0,1341,182,182,44.43359375,44.43359375,50.889122466780954,37.978065033219046,44.43359375,Elem Hybrid / HS Distance
55118,27410,854,2020-10-29,854,0,781,73,73,26.63261583363736,26.63261583363736,32.74215517724274,20.523076490031972,26.63261583363736,All Hybrid
55119,38790,1321,2020-10-29,1321,0,1128,193,193,49.755091518432586,49.755091518432586,56.77473323519505,42.735449801670114,49.755091518432586,Elem Hybrid / HS Distance
55120,4240,101,2020-10-29,101,0,87,14,14,33.0188679245283,33.0188679245283,50.31520867470973,15.722527174346876,33.0188679245283,Elem Hybrid / HS Distance
55121,8390,252,2020-10-29,252,0,223,29,29,34.56495828367104,34.56495828367104,47.14531945409252,21.984597113249553,34.56495828367104,Elem Hybrid / HS Distance
55122,31140,732,2020-10-29,732,0,636,96,96,30.828516377649326,30.828516377649326,36.99550404091847,24.661528714380182,30.828516377649326,Elem Hybrid / HS Distance
55123,26760,527,2020-10-29,527,0,443,84,84,31.390134529147982,31.390134529147982,38.10302568169914,24.677243376596827,31.390134529147982,Elem Hybrid / HS Distance
55124,51410,1291,2020-10-29,1291,0,1123,168,168,32.67846722427543,32.67846722427543,37.62001624932091,27.736918199229954,32.67846722427543,Elem Hybrid / HS Distance
55125,43350,968,2020-10-29,968,0,814,154,154,35.52479815455594,35.52479815455594,41.13563099103624,29.913965318075643,35.52479815455594,Elem Hybrid / HS Distance
55126,25810,489,2020-10-29,489,0,405,84,84,32.54552499031383,32.54552499031383,39.5055004743227,25.58554950630496,32.54552499031383,Elem Hybrid / HS Distance
55127,17380,372,2020-10-29,372,0,301,71,71,40.851553509781354,40.851553509781354,50.35400089495147,31.349106124611243,40.851553509781354,Elem Hybrid / HS Distance
55128,28290,747,2020-10-29,747,0,634,113,113,39.943442912689996,39.943442912689996,47.30826645208904,32.57861937329094,39.943442912689996,Elem Hybrid / HS Distance
55129,24970,687,2020-10-29,687,0,589,98,98,39.24709651581898,39.24709651581898,47.01762518052016,31.476567851117796,39.24709651581898,Elem Hybrid / HS Distance
55130,16400,733,2020-10-29,733,0,666,67,67,40.853658536585364,40.853658536585364,50.63615331272561,31.071163760445117,40.853658536585364,Elem Hybrid / HS Distance
55150,178,2,2020-10-29,2,1,2,0,4,0,224.7191011235955,444.94382022471905,0,0,All Distance
55155,32,2,2020-10-29,2,1,2,0,4,0,1250,2475,0,0,All Distance
55301,11690,304,2020-10-29,304,0,240,64,64,54.74764756201883,54.74764756201883,68.16082121471344,41.33447390932421,54.74764756201883,All Distance
55302,6530,141,2020-10-29,141,0,112,29,29,44.4104134762634,44.4104134762634,60.57415470441597,28.246672248110833,44.4104134762634,Elem Hybrid / HS Distance
55303,46160,1203,2020-10-29,1203,0,948,255,255,55.24263431542461,55.24263431542461,62.02311309974778,48.46215553110144,55.24263431542461,All Distance
55304,47140,1056,2020-10-29,1056,0,838,218,218,46.24522698345354,46.24522698345354,52.38418608359302,40.10626788331407,46.24522698345354,Elem Hybrid / HS Distance
55305,19310,436,2020-10-29,436,0,380,56,56,29.00051786639047,29.00051786639047,36.59621799904394,21.404817733737,29.00051786639047,All Hybrid
55306,16310,548,2020-10-29,548,0,472,76,76,46.597179644389946,46.597179644389946,57.073503285517745,36.12085600326214,46.597179644389946,Elem Hybrid / HS Distance
55307,2910,56,2020-10-29,56,0,50,6,6,20.61855670103093,20.61855670103093,37.11683813008601,4.1202752719758475,20.61855670103093,All Hybrid
55308,9150,139,2020-10-29,139,0,93,46,46,50.27322404371585,50.27322404371585,64.80149373434485,35.74495435308686,50.27322404371585,All Distance
55309,18660,367,2020-10-29,367,0,276,91,91,48.767416934619504,48.767416934619504,58.787357099556345,38.74747676968267,48.767416934619504,Elem Hybrid / HS Distance
55310,1360,23,2020-10-29,23,0,19,4,4,29.41176470588235,29.41176470588235,58.23529411764706,0.5882352941176475,29.41176470588235,All Hybrid
55311,36110,765,2020-10-29,765,0,632,133,133,36.83190252007754,36.83190252007754,43.091615254930694,30.57218978522438,36.83190252007754,Elem Hybrid / HS Distance
55312,1450,18,2020-10-29,18,0,12,6,6,41.37931034482759,41.37931034482759,74.48965445417261,8.268966235482562,41.37931034482759,Elem Hybrid / HS Distance
55313,22820,439,2020-10-29,439,0,374,65,65,28.483786152497807,28.483786152497807,35.40842470931865,21.55914759567697,28.483786152497807,All Hybrid
55314,1120,23,2020-10-29,23,0,23,0,0,0,0,0,0,0,All In-Person
55315,5360,121,2020-10-29,121,0,103,18,18,33.582089552238806,33.582089552238806,49.09622340812276,18.067955696354858,33.582089552238806,Elem Hybrid / HS Distance
55316,23060,605,2020-10-29,605,0,507,98,98,42.497831743278404,42.497831743278404,50.911973146469585,34.08369034008723,42.497831743278404,Elem Hybrid / HS Distance
55317,21650,388,2020-10-29,388,0,343,45,45,20.785219399538107,20.785219399538107,26.858235430807742,14.712203368268469,20.785219399538107,All Hybrid
55318,27270,635,2020-10-29,635,0,545,90,90,33.00330033003301,33.00330033003301,39.82185282060509,26.184747839460922,33.00330033003301,Elem Hybrid / HS Distance
55319,5050,74,2020-10-29,74,0,46,28,28,55.445544554455445,55.445544554455445,75.98286166212515,34.908227446785745,55.445544554455445,All Distance
55320,4860,86,2020-10-29,86,0,60,26,26,53.497942386831276,53.497942386831276,74.06188939638241,32.933995377280134,53.497942386831276,All Distance
55321,5130,68,2020-10-29,68,0,55,13,13,25.3411306042885,25.3411306042885,39.11672612068112,11.56553508789587,25.3411306042885,All Hybrid
55322,3370,49,2020-10-29,49,0,42,7,7,20.771513353115726,20.771513353115726,36.159265785420175,5.383760920811283,20.771513353115726,All Hybrid
55324,1150,17,2020-10-29,17,0,13,4,4,34.78260869565217,34.78260869565217,68.8695652173913,0.695652173913044,34.78260869565217,Elem Hybrid / HS Distance
55325,4410,60,2020-10-29,60,0,48,12,12,27.210884353741495,27.210884353741495,42.60689153213152,11.814877175351477,27.210884353741495,All Hybrid
55327,3510,121,2020-10-29,121,0,100,21,21,59.82905982905984,59.82905982905984,85.4183714020326,34.23974825608705,59.82905982905984,All Distance
55328,8940,144,2020-10-29,144,0,114,30,30,33.557046979865774,33.557046979865774,45.56528202136606,21.54881193836549,33.557046979865774,Elem Hybrid / HS Distance
55329,1830,39,2020-10-29,39,0,29,10,10,54.6448087431694,54.6448087431694,88.51401209797827,20.77560538836053,54.6448087431694,All Distance
55330,38370,789,2020-10-29,789,0,601,188,188,48.99661193640865,48.99661193640865,56.00056451226794,41.99265936054937,48.99661193640865,Elem Hybrid / HS Distance
55331,18110,402,2020-10-29,402,0,359,43,43,23.743787962451684,23.743787962451684,30.84073965081829,16.64683627408508,23.743787962451684,All Hybrid
55332,1710,29,2020-10-29,29,0,14,15,15,87.71929824561403,87.71929824561403,132.1113880617926,43.32720842943546,87.71929824561403,All Distance
